date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:41:43	1356343/1356343	---MCZ	200	added ('OK')	text/html	etag:W/%226c613805002bb46005781cef4ab85ac7%22	https://revistaclustermx.wixsite.com/misitio-2	/home/victus/Desktop/CLUSTER/revistaclustermx.wixsite.com/misitio-2.html	(from )
10:41:45	3477/3477	---MCZ	200	added ('OK')	image/x-icon	etag:%22680f3e4d-d95%22	https://www.wix.com/favicon.ico	/home/victus/Desktop/CLUSTER/www.wix.com/favicon.ico	(from https://revistaclustermx.wixsite.com/misitio-2)
10:41:46	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	/home/victus/Desktop/CLUSTER/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://revistaclustermx.wixsite.com/misitio-2)
10:41:47	1171/1171	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	/home/victus/Desktop/CLUSTER/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://revistaclustermx.wixsite.com/misitio-2)
10:41:48	2509/2509	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Jul%202025%2016:41:47%20GMT	https://revistaclustermx.wixsite.com/c	/home/victus/Desktop/CLUSTER/revistaclustermx.wixsite.com/c.4.delayed	(from https://revistaclustermx.wixsite.com/misitio-2)
10:41:48	2510/2510	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Jul%202025%2016:41:48%20GMT	https://revistaclustermx.wixsite.com/t	/home/victus/Desktop/CLUSTER/revistaclustermx.wixsite.com/t.5.delayed	(from https://revistaclustermx.wixsite.com/misitio-2)
10:41:50	142320/142320	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221b9602c3e6dafc944c5e5f8ccbb3e27f-1%22	http://static.parastorage.com/services/third-party/fonts/Helvetica/Fonts/56be84de-9d60-4089-8df0-0ea6ec786b84.eot?	/home/victus/Desktop/CLUSTER/static.parastorage.com/services/third-party/fonts/Helvetica/Fonts/56be84de-9d60-4089-8df0-0ea6ec786b84d41d.eot	(from https://revistaclustermx.wixsite.com/misitio-2)
10:41:50	2509/2509	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Jul%202025%2016:41:50%20GMT	https://revistaclustermx.wixsite.com/	/home/victus/Desktop/CLUSTER/revistaclustermx.wixsite.com/index.html	(from https://revistaclustermx.wixsite.com/misitio-2)
10:41:51	795226/795226	---MCZ	200	added ('OK')	text/html	etag:W/%22e61a6e25d0eb44088a01e766237f4269%22	https://revistaclustermx.wixsite.com/misitio-2/en	/home/victus/Desktop/CLUSTER/revistaclustermx.wixsite.com/misitio-2/en.html	(from https://revistaclustermx.wixsite.com/misitio-2)
10:41:52	16223/16223	---MCZ	200	added ('OK')	text/xml	date:Thu,%2010%20Jul%202025%2016:41:51%20GMT	https://revistaclustermx.wixsite.com/misitio-2/blog-feed.xml	/home/victus/Desktop/CLUSTER/revistaclustermx.wixsite.com/misitio-2/blog-feed.xml	(from https://revistaclustermx.wixsite.com/misitio-2)
